"date","geography","geography code","National identity: Total: All usual residents","National identity: British only identity","National identity: English only identity","National identity: English and British only identity","National identity: Welsh only identity","National identity: Welsh and British only identity","National identity: Any other combination of only UK identities","National identity: Scottish only identity","National identity: Scottish and British only identity","National identity: Northern Irish only identity","National identity: Northern Irish and British only identity","National identity: Cornish only identity","National identity: Cornish and British only identity","National identity: Any other combination of only UK identities","National identity: Irish only identity","National identity: Irish and at least one UK identity","National identity: Other identity only","National identity: Other identity and at least one UK identity","National identity: Non-UK identity only","National identity: UK identity and non-UK identity"
2021,"Croydon 004","E02000197",9027,5659,492,383,13,5,51,22,4,8,4,0,0,13,62,11,2005,346,2067,357
2021,"Croydon 005","E02000198",8888,5514,501,443,11,4,38,8,6,10,1,1,0,12,80,20,1937,340,2017,360
2021,"Croydon 006","E02000199",8413,5423,530,411,18,4,37,17,4,6,3,0,0,7,83,14,1597,296,1680,310
2021,"Croydon 007","E02000200",9050,5538,638,559,25,17,75,40,10,14,2,2,0,7,72,12,1756,358,1828,370
2021,"Croydon 008","E02000201",8691,5457,690,488,11,5,55,32,7,9,2,1,0,4,69,11,1619,286,1688,297
2021,"Croydon 009","E02000202",8930,5708,340,320,5,2,23,4,4,6,2,1,0,6,50,8,2193,281,2243,289
2021,"Croydon 010","E02000203",7966,4787,431,320,12,2,36,10,9,7,1,0,3,6,38,16,2090,234,2128,250
2021,"Croydon 011","E02000204",9657,6320,359,296,7,3,16,3,4,3,0,0,0,6,59,6,2250,341,2309,347
2021,"Croydon 013","E02000206",10819,6626,707,558,14,4,91,15,9,20,6,1,0,40,75,17,2382,345,2457,362
2021,"Croydon 014","E02000207",8902,5610,809,648,19,8,66,32,5,11,2,0,0,16,77,14,1324,327,1401,341
2021,"Croydon 015","E02000208",10863,6797,469,454,2,2,26,13,2,6,0,0,0,5,36,8,2684,385,2720,393
2021,"Croydon 016","E02000209",9067,5715,353,272,10,6,12,6,2,2,1,0,0,1,18,2,2348,331,2366,333
2021,"Croydon 017","E02000210",8714,5200,826,646,16,10,53,18,8,17,7,1,0,2,77,11,1541,334,1618,345
2021,"Croydon 018","E02000211",8266,5139,1284,852,13,8,50,19,11,6,4,0,0,10,74,7,620,219,694,226
2021,"Croydon 019","E02000212",9461,5777,472,373,5,5,31,6,7,2,1,0,0,15,105,7,2349,337,2454,344
2021,"Croydon 020","E02000213",12796,7174,623,623,14,3,69,24,7,10,5,1,0,22,75,10,3730,475,3805,485
2021,"Croydon 021","E02000214",6240,3940,752,483,18,3,52,22,6,15,3,0,0,6,102,9,655,226,757,235
2021,"Croydon 022","E02000215",11823,6472,895,789,20,10,82,29,9,17,4,2,1,20,100,19,2982,454,3082,473
2021,"Croydon 023","E02000216",7162,4063,455,463,13,9,49,17,9,16,2,0,0,5,47,8,1648,407,1695,415
2021,"Croydon 024","E02000217",11926,6661,889,753,21,14,64,23,14,7,3,1,0,16,93,14,2901,516,2994,530
2021,"Croydon 025","E02000218",6671,4343,821,524,9,7,42,18,6,8,1,1,0,8,44,4,693,184,737,188
2021,"Croydon 026","E02000219",7631,4842,1110,763,18,8,53,27,5,7,7,0,0,7,57,7,525,248,582,255
