"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
2021,"Brent 024","E02000116",6640,2740,2116,2100,16,10,614,566,48,3900,2686,299,176,475,264
2021,"Brent 025","E02000117",9636,3450,2798,2788,10,18,634,602,32,6186,4290,359,385,767,385
2021,"Brent 026","E02000118",9252,4568,4011,4005,6,10,547,512,35,4684,2943,840,116,352,433
2021,"Brent 027","E02000119",7983,2932,2230,2218,12,10,692,652,40,5051,3446,401,241,652,311
2021,"Brent 028","E02000120",7609,3350,2029,1987,42,15,1306,1210,96,4259,3187,195,173,492,212
2021,"Brent 029","E02000121",9841,4935,4309,4291,18,6,620,582,38,4906,3152,852,142,318,442
2021,"Brent 030","E02000122",6675,3072,2361,2333,28,17,694,648,46,3603,2439,255,162,455,292
2021,"Brent 031","E02000123",10775,3851,2803,2772,31,12,1036,946,90,6924,4823,434,347,889,431
2021,"Brent 032","E02000124",8100,3924,2711,2667,44,17,1196,1094,102,4176,3043,178,170,546,239
2021,"Brent 033","E02000125",8066,3732,2758,2734,24,6,968,896,72,4334,3160,196,170,475,333
2021,"Brent 034","E02000126",6528,2380,1689,1631,58,13,678,618,60,4148,3001,214,257,481,195
2021,"Brent 035","E02006955",5314,2900,2055,2041,14,9,836,762,74,2414,1773,288,80,191,82
2021,"Brent 036","E02006956",6444,3204,2670,2656,14,6,528,488,40,3240,2096,452,127,288,277
2021,"Bromley 001","E02000127",7192,3562,2551,2524,27,20,991,947,44,3630,2360,111,216,595,348
2021,"Bromley 002","E02000128",6017,3800,2951,2933,18,5,844,816,28,2217,1390,67,100,340,320
2021,"Bromley 004","E02000130",6816,3820,2735,2671,64,9,1076,990,86,2996,2130,85,140,399,242
2021,"Bromley 005","E02000131",8633,4412,2292,2202,90,6,2114,1862,252,4221,3213,107,186,528,187
2021,"Bromley 006","E02000132",8185,4429,2905,2810,95,12,1512,1426,86,3756,2470,111,145,655,375
2021,"Bromley 007","E02000133",8593,5749,4797,4771,26,11,941,900,41,2844,1725,86,110,419,504
2021,"Bromley 008","E02000134",9362,5234,3655,3603,52,11,1568,1472,96,4128,2788,139,197,651,353
2021,"Bromley 009","E02000135",7817,3163,1983,1937,46,10,1170,1070,100,4654,3391,118,230,675,240
2021,"Bromley 010","E02000136",4519,2644,2170,2152,18,10,464,450,14,1875,1152,57,77,245,344
2021,"Bromley 011","E02000137",6695,4153,3124,3092,32,6,1023,967,56,2542,1588,65,130,446,313
2021,"Bromley 012","E02000138",7228,4322,3226,3176,50,14,1082,1010,72,2906,1595,98,137,541,535
2021,"Bromley 013","E02000139",6085,3687,2646,2602,44,11,1030,960,70,2398,1636,66,113,357,226
2021,"Bromley 014","E02000140",6568,3236,2392,2386,6,2,842,818,24,3332,2317,92,154,488,281
2021,"Bromley 015","E02000141",5792,3141,2140,2098,42,4,997,946,51,2651,1840,85,108,399,219
2021,"Bromley 016","E02000142",6869,4276,3363,3333,30,5,908,858,50,2593,1700,97,112,352,332
2021,"Bromley 018","E02000144",8069,4907,3662,3628,34,12,1233,1161,72,3162,2136,149,124,415,338
2021,"Bromley 019","E02000145",6680,3313,2361,2357,4,15,937,866,71,3367,2220,96,174,506,371
2021,"Bromley 020","E02000146",7570,4500,3306,3262,44,10,1184,1120,64,3070,1938,94,136,540,362
2021,"Bromley 021","E02000147",6563,4294,3769,3733,36,3,522,497,25,2269,1486,70,66,276,371
2021,"Bromley 022","E02000148",5404,3494,2996,2978,18,4,494,476,18,1910,1149,60,69,283,349
2021,"Bromley 023","E02000149",6502,3726,2782,2750,32,14,930,884,46,2776,1839,77,110,415,335
2021,"Bromley 024","E02000150",6649,4108,3455,3441,14,15,638,616,22,2541,1661,61,100,354,365
2021,"Bromley 025","E02000151",6005,4230,3678,3660,18,4,548,534,14,1775,1058,58,47,262,350
2021,"Bromley 026","E02000152",6121,3228,2495,2475,20,9,724,702,22,2893,1900,62,122,465,344
2021,"Bromley 027","E02000153",6380,4241,3678,3664,14,9,554,540,14,2139,1432,45,81,262,319
2021,"Bromley 028","E02000154",6980,4322,3490,3470,20,12,820,790,30,2658,1667,89,115,384,403
2021,"Bromley 029","E02000155",5971,3532,2836,2818,18,2,694,656,38,2439,1403,77,87,410,462
2021,"Bromley 030","E02000156",10021,6327,5450,5416,34,13,864,838,26,3694,2224,106,140,521,703
2021,"Bromley 031","E02000157",6743,4484,3920,3906,14,4,560,542,18,2259,1415,46,67,283,448
2021,"Bromley 032","E02000158",6123,3703,3105,3095,10,10,588,570,18,2420,1534,56,99,323,408
2021,"Bromley 033","E02000159",5905,3713,3088,3080,8,13,612,588,24,2192,1370,71,72,292,387
2021,"Bromley 034","E02000160",6462,4155,3509,3491,18,10,636,614,22,2307,1526,44,71,312,354
2021,"Bromley 035","E02000161",6866,4561,3939,3932,7,10,612,594,18,2305,1442,62,71,326,404
2021,"Bromley 036","E02000162",5714,3332,2754,2750,4,0,578,556,22,2382,1350,77,99,405,451
2021,"Bromley 037","E02000163",6299,4096,3493,3471,22,11,592,580,12,2203,1303,81,83,347,389
2021,"Bromley 039","E02000165",5781,3667,2816,2800,16,14,837,807,30,2114,1374,58,101,338,243
2021,"Bromley 040","E02006782",6461,3592,2890,2861,29,17,685,650,35,2869,1871,114,140,408,336
2021,"Bromley 041","E02006787",6147,3814,3067,3039,28,21,726,698,28,2333,1527,82,75,355,294
2021,"Bromley 042","E02006789",5662,3609,2932,2926,6,6,671,644,27,2053,1244,45,71,284,409
2021,"Camden 001","E02000166",6494,3016,2221,2165,56,7,788,718,70,3478,2462,119,130,482,285
2021,"Camden 002","E02000167",5989,3548,2726,2662,64,3,819,746,73,2441,1628,137,87,344,245
2021,"Camden 003","E02000168",6546,3138,2049,2003,46,7,1082,1004,78,3408,2615,104,111,399,179
2021,"Camden 004","E02000169",5747,3497,2818,2772,46,3,676,634,42,2250,1469,125,97,344,215
2021,"Camden 005","E02000170",6546,3364,2402,2376,26,8,954,884,70,3182,2347,115,109,391,220
2021,"Camden 006","E02000171",6180,3000,2035,1985,50,3,962,876,86,3180,2312,115,109,429,215
2021,"Camden 007","E02000172",7752,3028,2019,1979,40,15,994,934,60,4724,3569,135,182,521,317
2021,"Camden 008","E02000173",6122,3257,2412,2370,42,6,839,792,47,2865,2053,156,99,366,191
2021,"Camden 009","E02000174",6736,2767,1684,1628,56,13,1070,980,90,3969,3076,132,108,453,200
2021,"Camden 010","E02000175",7714,3541,2196,2156,40,17,1328,1238,90,4173,3291,148,125,427,182
2021,"Camden 011","E02000176",4913,2656,1878,1824,54,6,772,720,52,2257,1598,102,69,347,141
2021,"Camden 012","E02000177",7009,2672,1718,1680,38,6,948,852,96,4337,3203,164,176,511,283
2021,"Camden 013","E02000178",7551,3164,1838,1788,50,8,1318,1194,124,4387,3304,189,188,484,222
2021,"Camden 014","E02000179",4690,2222,1652,1620,32,2,568,512,56,2468,1774,98,107,306,183
