"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Havering 016","E02000479",9451,9117,214,120
2021,"Havering 017","E02000480",13843,13373,275,195
2021,"Havering 018","E02000481",8234,7976,205,53
2021,"Havering 019","E02000482",6588,6305,191,92
2021,"Havering 020","E02000483",8001,7783,158,60
2021,"Havering 021","E02000484",8492,8251,166,75
2021,"Havering 022","E02000485",8476,8155,209,112
2021,"Havering 023","E02000486",7357,7169,130,58
2021,"Havering 024","E02000487",7912,7644,192,76
2021,"Havering 025","E02000488",7577,7382,135,60
2021,"Havering 026","E02000489",8635,8403,158,74
2021,"Havering 027","E02000490",8469,8268,137,64
2021,"Havering 028","E02000491",10639,10318,221,100
2021,"Havering 029","E02000492",6830,6663,115,52
2021,"Havering 030","E02000493",6739,6562,135,42
2021,"Hillingdon 001","E02000494",7958,7514,219,225
2021,"Hillingdon 002","E02000495",10418,9887,302,229
2021,"Hillingdon 003","E02000496",7801,7505,211,85
2021,"Hillingdon 004","E02000497",9521,9166,233,122
2021,"Hillingdon 005","E02000498",6377,6154,159,64
2021,"Hillingdon 006","E02000499",7727,7446,178,103
2021,"Hillingdon 007","E02000500",8278,7918,210,150
2021,"Hillingdon 008","E02000501",8474,8178,159,137
2021,"Hillingdon 009","E02000502",8928,8626,182,120
2021,"Hillingdon 010","E02000503",8688,8406,183,99
2021,"Hillingdon 011","E02000504",7643,7357,185,101
2021,"Hillingdon 013","E02000506",7961,7655,190,116
2021,"Hillingdon 014","E02000507",8243,8010,141,92
2021,"Hillingdon 015","E02000508",11949,10202,1311,436
2021,"Hillingdon 016","E02000509",10556,8518,1560,478
2021,"Hillingdon 017","E02000510",9115,8746,246,123
2021,"Hillingdon 018","E02000511",9931,9672,159,100
2021,"Hillingdon 019","E02000512",8822,8608,140,74
2021,"Hillingdon 020","E02000513",9760,9509,166,85
2021,"Hillingdon 021","E02000514",10672,10397,144,131
2021,"Hillingdon 022","E02000515",13293,12543,463,287
2021,"Hillingdon 023","E02000516",8646,8400,154,92
2021,"Hillingdon 024","E02000517",10470,10155,185,130
2021,"Hillingdon 025","E02000518",9632,9306,212,114
2021,"Hillingdon 026","E02000519",9554,9319,128,107
2021,"Hillingdon 027","E02000520",14064,13588,268,208
2021,"Hillingdon 028","E02000521",13190,12744,246,200
2021,"Hillingdon 029","E02000522",9576,9251,192,133
2021,"Hillingdon 030","E02000523",11368,10923,229,216
2021,"Hillingdon 031","E02000524",7535,7200,168,167
2021,"Hillingdon 032","E02000525",10062,9664,212,186
2021,"Hounslow 001","E02000526",8640,7664,546,430
2021,"Hounslow 004","E02000529",9716,9367,232,117
2021,"Hounslow 005","E02000530",8118,7870,129,119
2021,"Hounslow 006","E02000531",11583,10958,374,251
2021,"Hounslow 007","E02000532",8976,8149,450,377
2021,"Hounslow 008","E02000533",8401,7677,445,279
2021,"Hounslow 009","E02000534",8557,8158,215,184
2021,"Hounslow 010","E02000535",10052,9667,189,196
2021,"Hounslow 011","E02000536",10843,10425,218,200
2021,"Hounslow 012","E02000537",9845,9315,211,319
2021,"Hounslow 013","E02000538",10109,9712,182,215
2021,"Hounslow 014","E02000539",12224,11708,308,208
2021,"Hounslow 015","E02000540",12122,11619,218,285
2021,"Hounslow 016","E02000541",10618,10186,168,264
2021,"Hounslow 017","E02000542",12303,11662,220,421
2021,"Hounslow 018","E02000543",14002,13341,271,390
2021,"Hounslow 019","E02000544",8557,8223,174,160
