"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Lambeth 033","E02000650",7665,6232,5366,792,555,143,73,21,74,74,561,223,585,63,1
2021,"Lambeth 034","E02000651",8738,6670,5240,1298,640,473,157,28,132,132,639,486,847,93,3
2021,"Lambeth 035","E02000652",7561,5525,4012,1444,556,577,293,18,69,69,738,648,618,27,5
2021,"Lambeth 036","E02006801",8567,5943,4223,1491,1101,179,157,54,229,229,592,1412,534,83,3
2021,"Lewisham 001","E02000653",12611,8867,6445,2009,1284,442,236,47,413,413,1482,1287,883,84,8
2021,"Lewisham 002","E02000654",8787,6051,4943,923,545,247,101,30,185,185,1318,706,661,44,7
2021,"Lewisham 003","E02000655",10283,7329,5731,1368,833,388,127,20,230,230,1165,696,1037,52,4
2021,"Lewisham 005","E02000657",9906,7501,6104,1250,833,237,138,42,147,147,954,573,804,72,2
2021,"Lewisham 006","E02000658",8619,6606,5500,932,647,167,74,44,174,174,781,386,762,81,3
2021,"Lewisham 007","E02000659",8063,6432,5371,832,551,168,90,23,229,229,518,560,457,82,14
2021,"Lewisham 008","E02000660",8208,6466,5278,1048,747,190,88,23,140,140,520,551,571,94,6
2021,"Lewisham 009","E02000661",6493,5364,4522,701,440,146,69,46,141,141,385,322,350,67,5
2021,"Lewisham 010","E02000662",8295,6327,5404,775,514,187,58,16,148,148,799,400,708,58,3
2021,"Lewisham 011","E02000663",6796,5389,4498,767,511,140,82,34,124,124,464,340,526,75,2
2021,"Lewisham 013","E02000665",8155,6661,5505,1001,541,199,215,46,155,155,471,434,514,67,8
