"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"Hammersmith and Fulham 025","E02000396",6898,4354,1790,522,174,58
2021,"Haringey 001","E02000397",7907,4057,2569,879,312,90
2021,"Haringey 002","E02000398",7518,3666,2376,986,367,123
2021,"Haringey 004","E02000400",7988,4282,2501,839,253,113
2021,"Haringey 005","E02000401",6864,3126,2243,993,375,127
2021,"Haringey 006","E02000402",6472,3077,2093,855,331,116
2021,"Haringey 007","E02000403",7513,3882,2566,708,282,75
2021,"Haringey 008","E02000404",7111,3412,2404,871,309,115
2021,"Haringey 009","E02000405",6474,3893,1877,518,135,51
2021,"Haringey 010","E02000406",6736,3181,2321,795,341,98
2021,"Haringey 011","E02000407",7605,3669,2609,937,300,90
2021,"Haringey 012","E02000408",8252,4036,2724,954,429,109
2021,"Haringey 013","E02000409",6060,2884,2021,820,254,81
2021,"Haringey 014","E02000410",6418,3835,1971,442,134,36
2021,"Haringey 015","E02000411",11428,5827,3947,1128,406,120
2021,"Haringey 016","E02000412",7323,3476,2472,900,338,137
2021,"Haringey 017","E02000413",7763,4482,2360,670,192,59
2021,"Haringey 018","E02000414",7081,3596,2430,744,232,79
2021,"Haringey 019","E02000415",7242,3718,2395,768,289,72
2021,"Haringey 020","E02000416",8454,4476,2667,884,285,142
2021,"Haringey 021","E02000417",6556,3813,1958,565,170,50
2021,"Haringey 022","E02000418",5431,3169,1566,497,145,54
2021,"Haringey 023","E02000419",8736,4629,2864,859,301,83
2021,"Haringey 024","E02000420",7987,3873,2733,912,356,113
2021,"Haringey 025","E02000421",8511,4251,2809,877,381,193
2021,"Haringey 026","E02000422",7458,3754,2413,829,340,122
2021,"Haringey 027","E02000423",6907,3597,2302,698,241,69
2021,"Haringey 028","E02000424",6754,3859,1956,635,214,90
2021,"Haringey 029","E02000425",8171,5729,1657,526,196,63
2021,"Haringey 030","E02000426",6491,3823,1828,597,180,63
