"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"Hackney 010","E02000354",8003,6399,289,301,94,920
2021,"Hackney 011","E02000355",6789,5439,326,206,77,741
2021,"Hackney 012","E02000356",5901,4830,314,180,46,531
2021,"Hackney 013","E02000357",5386,4618,106,96,43,523
2021,"Hackney 014","E02000358",9405,7489,523,324,108,961
2021,"Hackney 015","E02000359",5391,4433,208,155,83,512
2021,"Hackney 016","E02000360",9217,7659,359,222,84,893
2021,"Hackney 017","E02000361",6871,5500,352,255,72,692
2021,"Hackney 018","E02000362",5815,4804,213,174,60,564
2021,"Hackney 019","E02000363",9159,7701,256,214,67,921
2021,"Hackney 020","E02000364",7782,6304,434,208,75,761
2021,"Hackney 022","E02000366",6856,5690,239,184,56,687
2021,"Hackney 023","E02000367",8897,7239,466,310,97,785
2021,"Hackney 024","E02000368",8182,6662,352,231,64,873
2021,"Hackney 025","E02000369",11252,9249,556,305,83,1059
2021,"Hackney 026","E02000370",7453,6143,351,167,57,735
2021,"Hammersmith and Fulham 001","E02000372",8510,7258,187,144,46,875
2021,"Hammersmith and Fulham 002","E02000373",5462,4685,81,56,25,615
2021,"Hammersmith and Fulham 003","E02000374",5627,4745,148,115,28,591
2021,"Hammersmith and Fulham 004","E02000375",6300,5283,206,110,27,674
2021,"Hammersmith and Fulham 005","E02000376",5833,4772,261,138,47,615
2021,"Hammersmith and Fulham 006","E02000377",6581,5468,217,155,39,702
2021,"Hammersmith and Fulham 007","E02000378",5580,4614,242,132,33,559
2021,"Hammersmith and Fulham 008","E02000379",5968,5108,178,82,18,582
2021,"Hammersmith and Fulham 009","E02000380",4569,3910,155,71,21,412
2021,"Hammersmith and Fulham 010","E02000381",6312,5383,186,98,29,616
2021,"Hammersmith and Fulham 011","E02000382",5260,4434,210,89,28,499
2021,"Hammersmith and Fulham 012","E02000383",7529,6157,292,162,38,880
2021,"Hammersmith and Fulham 013","E02000384",7137,5884,263,147,40,803
2021,"Hammersmith and Fulham 014","E02000385",5099,4176,283,136,34,470
2021,"Hammersmith and Fulham 015","E02000386",6443,5479,202,115,16,631
2021,"Hammersmith and Fulham 016","E02000387",5221,4378,181,93,27,542
2021,"Hammersmith and Fulham 017","E02000388",7591,6517,221,137,38,678
2021,"Hammersmith and Fulham 018","E02000389",7310,6289,256,115,32,618
2021,"Hammersmith and Fulham 019","E02000390",5290,4561,145,93,19,472
2021,"Hammersmith and Fulham 020","E02000391",6253,5494,163,68,10,518
2021,"Hammersmith and Fulham 021","E02000392",7690,6715,170,128,20,657
2021,"Hammersmith and Fulham 022","E02000393",4986,4352,110,99,15,410
2021,"Hammersmith and Fulham 023","E02000394",7724,6731,193,109,25,666
2021,"Hammersmith and Fulham 024","E02000395",4876,4247,132,62,10,425
2021,"Hammersmith and Fulham 025","E02000396",5474,4751,144,59,14,506
2021,"Haringey 001","E02000397",6543,5547,155,109,56,676
2021,"Haringey 002","E02000398",5924,5102,58,64,36,664
2021,"Haringey 004","E02000400",6357,5532,126,93,28,578
2021,"Haringey 005","E02000401",5607,4854,65,59,42,587
2021,"Haringey 006","E02000402",5192,4466,60,42,25,599
2021,"Haringey 007","E02000403",6216,5128,170,111,48,759
2021,"Haringey 008","E02000404",5903,4955,120,83,51,694
2021,"Haringey 009","E02000405",4982,4373,108,97,33,371
2021,"Haringey 010","E02000406",5743,4702,127,88,44,782
2021,"Haringey 011","E02000407",6172,5075,127,138,53,779
2021,"Haringey 012","E02000408",6476,5487,80,89,53,767
2021,"Haringey 013","E02000409",5012,4357,82,62,25,486
2021,"Haringey 014","E02000410",5196,4434,140,119,31,472
2021,"Haringey 015","E02000411",9371,7736,297,248,95,995
2021,"Haringey 016","E02000412",6304,5203,177,147,45,732
2021,"Haringey 017","E02000413",6039,5237,120,113,38,531
2021,"Haringey 018","E02000414",5845,4898,174,119,60,594
2021,"Haringey 019","E02000415",6069,4994,200,139,54,682
2021,"Haringey 020","E02000416",7085,6019,222,172,35,637
2021,"Haringey 021","E02000417",5443,4716,147,106,38,436
2021,"Haringey 022","E02000418",4447,3888,121,60,17,361
2021,"Haringey 023","E02000419",7403,6038,292,205,81,787
2021,"Haringey 024","E02000420",6758,5532,233,137,60,796
2021,"Haringey 025","E02000421",7078,5738,174,180,74,912
2021,"Haringey 026","E02000422",6022,4991,144,121,51,715
2021,"Haringey 027","E02000423",5951,4783,260,232,66,610
2021,"Haringey 028","E02000424",5649,4758,192,148,42,509
2021,"Haringey 029","E02000425",5116,3435,77,62,32,1510
2021,"Haringey 030","E02000426",5324,4610,143,72,38,461
2021,"Haringey 031","E02000427",5776,4642,298,190,69,577
2021,"Haringey 032","E02000428",6849,5382,185,229,99,954
2021,"Haringey 033","E02000429",5622,4774,193,121,22,512
2021,"Haringey 034","E02000430",5826,4835,231,170,58,532
2021,"Haringey 035","E02000431",5085,4222,231,147,45,440
2021,"Haringey 036","E02000432",5339,4328,305,171,55,480
2021,"Harrow 001","E02000433",7180,6342,50,41,21,726
2021,"Harrow 002","E02000434",8107,7102,44,61,36,864
2021,"Harrow 003","E02000435",6574,5816,40,56,31,631
2021,"Harrow 004","E02000436",4825,4385,24,26,11,379
2021,"Harrow 005","E02000437",7062,6221,28,46,24,743
2021,"Harrow 006","E02000438",6698,5906,40,46,35,671
2021,"Harrow 007","E02000439",7347,6327,38,59,54,869
2021,"Harrow 008","E02000440",7698,6816,23,50,38,771
2021,"Harrow 009","E02000441",5984,5373,41,34,13,523
2021,"Harrow 010","E02000442",7698,6509,26,70,68,1025
2021,"Harrow 011","E02000443",8385,7139,45,82,59,1060
2021,"Harrow 012","E02000444",6908,5942,13,63,30,860
2021,"Harrow 013","E02000445",9150,7678,62,105,55,1250
2021,"Harrow 015","E02000447",6482,5783,37,42,17,603
2021,"Harrow 016","E02000448",5646,4985,48,33,10,570
