"date","geography","geography code","Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over","Schoolchild or full-time student indicator: Student","Schoolchild or full-time student indicator: Not a student"
2021,"Hillingdon 026","E02000519",8968,2467,6501
2021,"Hillingdon 027","E02000520",13043,3315,9728
2021,"Hillingdon 028","E02000521",12156,3083,9073
2021,"Hillingdon 029","E02000522",8899,2066,6833
2021,"Hillingdon 030","E02000523",10650,2561,8089
2021,"Hillingdon 031","E02000524",7045,1415,5630
2021,"Hillingdon 032","E02000525",9354,2290,7064
2021,"Hounslow 001","E02000526",8235,1634,6601
2021,"Hounslow 004","E02000529",9070,2237,6833
2021,"Hounslow 005","E02000530",7538,2169,5369
2021,"Hounslow 006","E02000531",10878,2157,8721
2021,"Hounslow 007","E02000532",8479,1658,6821
2021,"Hounslow 008","E02000533",7951,1632,6319
2021,"Hounslow 009","E02000534",8053,1658,6395
2021,"Hounslow 010","E02000535",9494,2119,7375
2021,"Hounslow 011","E02000536",10196,2365,7831
2021,"Hounslow 012","E02000537",9299,2108,7191
2021,"Hounslow 013","E02000538",9510,2063,7447
2021,"Hounslow 014","E02000539",11416,2548,8868
2021,"Hounslow 015","E02000540",11225,2472,8753
2021,"Hounslow 016","E02000541",9898,2180,7718
2021,"Hounslow 017","E02000542",11411,2719,8692
2021,"Hounslow 018","E02000543",12877,2940,9937
2021,"Hounslow 019","E02000544",8130,1703,6427
2021,"Hounslow 020","E02000545",8635,2093,6542
2021,"Hounslow 021","E02000546",9795,2397,7398
2021,"Hounslow 022","E02000547",10275,2289,7986
2021,"Hounslow 023","E02000548",9853,2365,7488
2021,"Hounslow 024","E02000549",11839,2646,9193
2021,"Hounslow 025","E02000550",10012,2441,7571
2021,"Hounslow 026","E02000551",9061,2247,6814
2021,"Hounslow 027","E02000552",8641,1970,6671
2021,"Hounslow 028","E02000553",6665,1521,5144
2021,"Islington 001","E02000554",8811,1823,6988
2021,"Islington 002","E02000555",9092,1913,7179
2021,"Islington 003","E02000556",10820,1991,8829
2021,"Islington 004","E02000557",8367,1541,6826
2021,"Islington 005","E02000558",8830,2090,6740
2021,"Islington 006","E02000559",9043,1716,7327
2021,"Islington 007","E02000560",7023,1358,5665
2021,"Islington 008","E02000561",7062,1451,5611
2021,"Islington 009","E02000562",7465,1326,6139
2021,"Islington 010","E02000563",8262,1855,6407
