"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"Croydon 029","E02000222",4494,1052,377,675,3442,2881,561
2021,"Croydon 030","E02000223",3201,1184,376,808,2017,1781,236
2021,"Croydon 031","E02000224",4355,1132,432,700,3223,2744,479
2021,"Croydon 032","E02000225",3385,1075,349,726,2310,2018,292
2021,"Croydon 033","E02000226",3551,1003,400,603,2548,2133,415
2021,"Croydon 034","E02000227",5722,1691,595,1096,4031,3452,579
2021,"Croydon 035","E02000228",3656,1080,446,634,2576,2051,525
2021,"Croydon 036","E02000229",2541,861,282,579,1680,1484,196
2021,"Croydon 037","E02000230",5081,1326,515,811,3755,3088,667
2021,"Croydon 038","E02000231",3854,1105,457,648,2749,2118,631
2021,"Croydon 039","E02000232",2901,901,333,568,2000,1679,321
2021,"Croydon 040","E02000233",3175,843,308,535,2332,1956,376
2021,"Croydon 041","E02000234",4566,1208,430,778,3358,2812,546
2021,"Croydon 042","E02000235",3452,933,372,561,2519,2091,428
2021,"Croydon 043","E02000236",4663,1181,412,769,3482,2932,550
2021,"Croydon 044","E02000237",3511,1065,392,673,2446,2061,385
2021,"Ealing 001","E02000238",5505,1679,606,1073,3826,3277,549
2021,"Ealing 002","E02000239",4585,1322,505,817,3263,2809,454
2021,"Ealing 003","E02000240",4926,1576,579,997,3350,2960,390
2021,"Ealing 004","E02000241",3581,1086,363,723,2495,2139,356
2021,"Ealing 005","E02000242",3287,1003,402,601,2284,1951,333
2021,"Ealing 006","E02000243",4157,1311,502,809,2846,2458,388
2021,"Ealing 007","E02000244",3771,1177,442,735,2594,2176,418
2021,"Ealing 008","E02000245",3924,1293,411,882,2631,2308,323
2021,"Ealing 009","E02000246",4069,1384,498,886,2685,2367,318
2021,"Ealing 010","E02000247",4820,1504,508,996,3316,2901,415
2021,"Ealing 011","E02000248",3715,1165,480,685,2550,2021,529
2021,"Ealing 012","E02000249",3864,1275,462,813,2589,2206,383
2021,"Ealing 013","E02000250",3170,870,392,478,2300,1771,529
2021,"Ealing 014","E02000251",3850,1217,424,793,2633,2300,333
2021,"Ealing 015","E02000252",5410,1618,678,940,3792,3247,545
2021,"Ealing 016","E02000253",4246,1501,576,925,2745,2384,361
2021,"Ealing 017","E02000254",4002,1303,472,831,2699,2428,271
