"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
2021,"Haringey 015","E02000411",11249,9294,133,1509,313
2021,"Haringey 016","E02000412",7268,6055,31,1048,134
2021,"Haringey 017","E02000413",7686,6854,32,702,98
2021,"Haringey 018","E02000414",7004,6066,22,817,99
2021,"Haringey 019","E02000415",7148,5987,21,1020,120
2021,"Haringey 020","E02000416",8355,7155,18,1104,78
2021,"Haringey 021","E02000417",6502,5616,23,788,75
2021,"Haringey 022","E02000418",5405,4913,23,423,46
2021,"Haringey 023","E02000419",8619,6839,35,1550,195
2021,"Haringey 024","E02000420",7901,6831,23,921,126
2021,"Haringey 025","E02000421",8394,7132,53,969,240
2021,"Haringey 026","E02000422",7371,6508,11,747,105
2021,"Haringey 027","E02000423",6841,5451,24,1220,146
2021,"Haringey 028","E02000424",6676,5784,13,816,63
2021,"Haringey 029","E02000425",7977,7214,8,683,72
2021,"Haringey 030","E02000426",6409,5557,18,760,74
2021,"Haringey 031","E02000427",6541,5209,37,1154,141
2021,"Haringey 032","E02000428",8332,7131,24,1017,160
2021,"Haringey 033","E02000429",6716,5821,29,786,80
2021,"Haringey 034","E02000430",6835,5737,29,998,71
2021,"Haringey 035","E02000431",5792,4799,24,901,68
2021,"Haringey 036","E02000432",6044,4965,16,1000,63
2021,"Haringey 037","E02006794",8186,7485,8,586,107
2021,"Harrow 001","E02000433",8529,7627,24,746,132
2021,"Harrow 002","E02000434",9735,8785,26,780,144
2021,"Harrow 003","E02000435",8114,7331,15,655,113
2021,"Harrow 004","E02000436",5703,5308,26,307,62
2021,"Harrow 005","E02000437",8658,7888,22,657,91
2021,"Harrow 006","E02000438",8426,7697,24,628,77
2021,"Harrow 007","E02000439",9138,8209,25,760,144
2021,"Harrow 008","E02000440",9528,8907,22,519,80
2021,"Harrow 009","E02000441",7390,6700,22,557,111
2021,"Harrow 010","E02000442",9409,8429,20,830,130
2021,"Harrow 011","E02000443",10625,9345,20,1114,146
2021,"Harrow 012","E02000444",8624,7899,19,616,90
