"date","geography","geography code","Religion: Total: All usual residents","Religion: No religion","Religion: Christian","Religion: Buddhist","Religion: Hindu","Religion: Jewish","Religion: Muslim","Religion: Sikh","Religion: Other religion","Religion: Not answered"
2021,"Enfield 031","E02000307",10110,1310,4799,56,466,33,2437,58,276,675
2021,"Enfield 032","E02000308",8759,2143,3724,41,383,114,1299,29,295,731
2021,"Enfield 033","E02000309",11796,1462,4875,75,494,4,3754,28,310,794
2021,"Enfield 035","E02000311",10544,1719,4752,89,413,74,2205,42,427,823
2021,"Enfield 036","E02000312",11302,3011,5246,53,367,196,1368,34,223,804
2021,"Greenwich 001","E02000313",6486,1670,3731,56,40,6,558,33,18,374
2021,"Greenwich 002","E02000314",14106,2807,8073,195,285,22,1718,56,59,891
2021,"Greenwich 003","E02000315",9870,2469,5340,142,269,8,858,126,49,609
2021,"Greenwich 005","E02000317",7561,2077,3486,224,204,14,1064,38,37,417
2021,"Greenwich 006","E02000318",11064,1836,3923,704,1783,12,1545,421,127,713
2021,"Greenwich 007","E02000319",10618,2727,4440,349,921,14,1295,158,84,630
2021,"Greenwich 008","E02000320",7041,1729,3483,115,364,11,692,170,25,452
2021,"Greenwich 009","E02000321",7720,2057,3448,217,365,7,962,100,41,523
2021,"Greenwich 011","E02000323",12861,2964,5191,329,1117,18,2099,354,96,693
2021,"Greenwich 012","E02000324",7867,2585,3320,123,335,24,773,90,54,563
2021,"Greenwich 014","E02000326",7798,3210,3002,68,268,22,495,128,41,564
2021,"Greenwich 015","E02000327",6621,2122,3011,146,136,6,758,41,43,358
2021,"Greenwich 016","E02000328",6512,2878,2662,49,121,21,199,90,64,428
2021,"Greenwich 017","E02000329",6329,1948,2942,88,229,5,436,263,30,388
2021,"Greenwich 019","E02000331",8234,2653,3655,127,462,18,675,114,47,483
2021,"Greenwich 020","E02000332",7458,2472,3600,85,136,9,462,99,40,555
2021,"Greenwich 021","E02000333",6238,2782,2483,50,145,17,266,21,60,414
2021,"Greenwich 022","E02000334",6638,2048,3086,109,218,26,523,84,57,487
2021,"Greenwich 023","E02000335",6674,2508,3272,38,106,18,245,33,20,434
2021,"Greenwich 025","E02000337",8471,3068,3982,102,136,8,554,44,41,536
2021,"Greenwich 027","E02000339",6285,2474,3142,54,88,14,132,15,28,338
2021,"Greenwich 028","E02000340",6865,2207,3624,39,144,17,406,51,15,362
2021,"Greenwich 029","E02000341",7992,2999,3686,57,171,13,532,33,43,458
2021,"Greenwich 030","E02000342",6347,2456,2837,50,120,10,381,21,34,438
2021,"Greenwich 031","E02000343",7048,2492,3337,50,215,15,469,44,18,408
2021,"Greenwich 032","E02000344",6432,2198,3202,53,170,13,266,48,29,453
2021,"Hackney 001","E02000345",8202,935,1217,17,27,4212,466,37,92,1199
2021,"Hackney 002","E02000346",9398,2882,3261,106,90,215,1676,90,192,886
2021,"Hackney 003","E02000347",8153,1376,1559,42,5,3073,599,72,151,1276
2021,"Hackney 004","E02000348",8106,1068,1728,34,23,2794,1003,40,188,1228
2021,"Hackney 006","E02000350",10243,3720,2094,57,15,1412,1529,88,191,1137
