"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Haringey 034","E02000430",3249,2524,635,90
2021,"Haringey 035","E02000431",2845,2269,504,72
2021,"Haringey 036","E02000432",2797,2054,634,109
2021,"Harrow 001","E02000433",3544,2594,785,165
2021,"Harrow 002","E02000434",3639,2725,712,202
2021,"Harrow 003","E02000435",2812,1921,702,189
2021,"Harrow 004","E02000436",2042,1508,418,116
2021,"Harrow 005","E02000437",3089,2119,742,228
2021,"Harrow 006","E02000438",3044,2125,694,225
2021,"Harrow 007","E02000439",2948,2189,602,157
2021,"Harrow 008","E02000440",3055,2285,612,158
2021,"Harrow 009","E02000441",2794,1999,647,148
2021,"Harrow 010","E02000442",2667,1951,545,171
2021,"Harrow 011","E02000443",3546,2488,811,247
2021,"Harrow 012","E02000444",2670,2014,497,159
2021,"Harrow 013","E02000445",3820,2725,849,246
2021,"Harrow 015","E02000447",2745,2029,558,158
2021,"Harrow 016","E02000448",2759,2056,585,118
2021,"Harrow 017","E02000449",2527,1794,555,178
2021,"Harrow 019","E02000451",2328,1785,432,111
2021,"Harrow 020","E02000452",3452,2673,623,156
2021,"Harrow 021","E02000453",3047,2315,585,147
2021,"Harrow 022","E02000454",2524,1902,495,127
2021,"Harrow 023","E02000455",4758,3739,860,159
2021,"Harrow 024","E02000456",2717,1959,602,156
2021,"Harrow 025","E02000457",2564,1866,546,152
2021,"Harrow 027","E02000459",3418,2527,731,160
2021,"Harrow 028","E02000460",2414,1742,494,178
2021,"Harrow 029","E02000461",2559,1986,474,99
2021,"Harrow 030","E02000462",2286,1635,520,131
2021,"Harrow 031","E02000463",2834,1993,646,195
2021,"Havering 001","E02000464",2874,1861,771,242
2021,"Havering 002","E02000465",3492,2303,964,225
2021,"Havering 003","E02000466",3293,2194,811,288
2021,"Havering 004","E02000467",4290,2685,1250,355
2021,"Havering 005","E02000468",3164,2212,729,223
2021,"Havering 006","E02000469",2699,1792,709,198
2021,"Havering 007","E02000470",4131,3011,922,198
2021,"Havering 008","E02000471",2941,2103,663,175
2021,"Havering 009","E02000472",3527,2472,829,226
2021,"Havering 010","E02000473",4022,2957,850,215
2021,"Havering 011","E02000474",3532,2482,818,232
2021,"Havering 012","E02000475",3961,2911,882,168
2021,"Havering 013","E02000476",4200,3096,921,183
2021,"Havering 014","E02000477",3715,2696,807,212
2021,"Havering 015","E02000478",2151,1555,488,108
2021,"Havering 016","E02000479",3789,2763,830,196
