"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Enfield 024","E02000300",2998,1403,729,674,9,9,370,195,175,1208,1129,79,8
2021,"Enfield 025","E02000301",3726,1190,612,578,44,44,1228,662,566,1249,1187,62,15
2021,"Enfield 026","E02000302",3114,2054,1064,990,8,8,354,234,120,696,621,75,2
2021,"Enfield 027","E02000303",2976,1032,502,530,17,17,945,627,318,965,900,65,17
2021,"Enfield 028","E02000304",2911,2238,1202,1036,14,14,72,51,21,586,513,73,1
2021,"Enfield 029","E02000305",3452,2032,948,1084,15,15,134,34,100,1271,1178,93,0
2021,"Enfield 030","E02000306",3399,678,282,396,81,81,1717,931,786,896,827,69,27
2021,"Enfield 031","E02000307",3343,1995,1042,953,7,7,277,176,101,1058,979,79,6
2021,"Enfield 032","E02000308",3223,1592,802,790,57,57,574,316,258,995,920,75,5
2021,"Enfield 033","E02000309",3986,1484,755,729,37,37,829,506,323,1626,1522,104,10
2021,"Enfield 035","E02000311",3635,1885,1024,861,30,30,604,236,368,1104,1022,82,12
2021,"Enfield 036","E02000312",4495,2155,1148,1007,99,99,357,106,251,1878,1764,114,6
2021,"Greenwich 001","E02000313",2596,569,221,348,46,46,1627,208,1419,346,311,35,8
2021,"Greenwich 002","E02000314",4537,1521,348,1173,165,165,1156,209,947,1679,1592,87,16
2021,"Greenwich 003","E02000315",3490,1195,439,756,19,19,1488,1248,240,779,726,53,9
2021,"Greenwich 005","E02000317",2822,709,257,452,40,40,1551,1055,496,508,465,43,14
2021,"Greenwich 006","E02000318",3581,1297,549,748,13,13,851,470,381,1400,1269,131,20
2021,"Greenwich 007","E02000319",3919,1297,509,788,78,78,1229,516,713,1302,1180,122,13
