"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"Croydon 030","E02000223",3205,240,400,290,259,315,539,344,296,522
2021,"Croydon 031","E02000224",4353,607,1065,742,460,329,352,279,219,300
2021,"Croydon 032","E02000225",3385,260,453,347,354,428,486,294,304,459
2021,"Croydon 033","E02000226",3552,573,921,532,415,301,273,194,145,198
2021,"Croydon 034","E02000227",5721,592,1092,869,699,570,616,436,386,461
2021,"Croydon 035","E02000228",3658,800,1161,549,399,193,190,159,92,115
2021,"Croydon 036","E02000229",2541,214,366,260,198,337,359,214,228,365
2021,"Croydon 037","E02000230",5082,900,1520,789,566,313,316,235,191,252
2021,"Croydon 038","E02000231",3855,908,1170,555,389,201,229,170,87,146
2021,"Croydon 039","E02000232",2900,486,650,425,362,288,218,177,122,172
2021,"Croydon 040","E02000233",3174,508,862,512,361,238,249,168,109,167
2021,"Croydon 041","E02000234",4564,767,1219,757,489,330,342,245,175,240
2021,"Croydon 042","E02000235",3453,654,888,582,375,248,220,207,119,160
2021,"Croydon 043","E02000236",4660,793,1287,763,483,385,340,213,171,225
2021,"Croydon 044","E02000237",3510,532,814,529,419,347,308,197,165,199
2021,"Ealing 001","E02000238",5508,586,979,610,512,678,454,514,463,712
2021,"Ealing 002","E02000239",4586,526,870,504,435,606,304,367,360,614
2021,"Ealing 003","E02000240",4927,459,795,479,437,595,543,436,441,742
2021,"Ealing 004","E02000241",3578,372,657,393,343,412,307,311,296,487
2021,"Ealing 005","E02000242",3286,370,508,324,332,445,217,349,318,423
2021,"Ealing 006","E02000243",4157,477,723,459,397,592,315,293,360,541
2021,"Ealing 007","E02000244",3769,443,728,435,323,562,285,254,330,409
2021,"Ealing 008","E02000245",3924,312,620,415,384,429,455,372,401,536
2021,"Ealing 009","E02000246",4070,401,576,406,361,443,418,433,444,588
2021,"Ealing 010","E02000247",4820,486,785,488,460,560,456,410,504,671
2021,"Ealing 011","E02000248",3715,587,847,448,301,421,249,216,237,409
2021,"Ealing 012","E02000249",3866,430,624,426,347,529,344,304,343,519
2021,"Ealing 013","E02000250",3167,673,1144,503,228,149,143,110,78,139
2021,"Ealing 014","E02000251",3852,390,622,400,346,464,271,447,373,539
2021,"Ealing 015","E02000252",5412,589,1220,747,422,548,484,414,343,645
2021,"Ealing 016","E02000253",4246,458,838,577,388,439,459,302,312,473
2021,"Ealing 017","E02000254",4001,377,513,421,333,390,287,433,477,770
2021,"Ealing 018","E02000255",4586,765,1320,756,386,277,315,262,210,295
2021,"Ealing 019","E02000256",5197,948,1683,948,361,280,274,222,177,304
2021,"Ealing 021","E02000258",3386,600,796,543,289,301,249,193,137,278
2021,"Ealing 022","E02000259",3311,464,893,513,254,346,241,194,125,281
2021,"Ealing 023","E02000260",3809,295,480,299,318,306,286,482,468,875
2021,"Ealing 024","E02000261",6511,938,1611,944,500,578,481,449,371,639
2021,"Ealing 025","E02000262",4887,721,1249,866,353,359,397,274,225,443
2021,"Ealing 026","E02000263",5526,393,618,405,405,454,390,732,708,1421
2021,"Ealing 027","E02000264",4659,882,1404,841,343,297,249,211,114,318
2021,"Ealing 028","E02000265",5535,816,1581,921,467,396,398,276,216,464
2021,"Ealing 029","E02000266",5465,538,1017,639,470,420,561,552,527,741
2021,"Ealing 030","E02000267",4190,586,1106,689,334,455,325,202,181,312
2021,"Ealing 031","E02000268",4874,977,1472,822,345,318,279,221,159,281
2021,"Ealing 032","E02000269",4429,898,1487,808,333,231,216,134,111,211
2021,"Ealing 033","E02000270",5061,764,1417,914,373,318,343,310,212,410
2021,"Ealing 034","E02000271",3729,981,1160,711,243,140,184,111,78,121
2021,"Ealing 035","E02000272",3346,618,1056,578,294,207,153,141,130,169
2021,"Ealing 038","E02000275",3391,375,495,343,278,233,240,379,352,696
2021,"Ealing 039","E02000276",3662,650,1125,644,290,237,242,160,97,217
2021,"Enfield 001","E02000277",3088,288,470,353,304,348,345,280,287,413
2021,"Enfield 002","E02000278",3524,327,475,360,322,393,484,360,319,484
2021,"Enfield 003","E02000279",5130,537,908,563,468,514,585,433,407,715
2021,"Enfield 004","E02000280",3963,631,918,565,451,360,302,258,181,297
2021,"Enfield 005","E02000281",4239,503,794,563,454,434,426,333,276,456
2021,"Enfield 006","E02000282",3474,333,463,301,307,348,502,369,293,558
2021,"Enfield 007","E02000283",3490,323,512,351,329,452,403,351,303,466
2021,"Enfield 008","E02000284",4233,618,1178,621,428,358,316,227,182,305
2021,"Enfield 009","E02000285",3231,442,792,477,392,304,267,191,158,208
2021,"Enfield 010","E02000286",4191,713,1193,656,449,318,303,208,132,219
2021,"Enfield 011","E02000287",3426,866,957,488,368,188,190,159,89,121
2021,"Enfield 012","E02000288",4895,434,650,496,397,500,686,542,456,734
2021,"Enfield 013","E02000289",3199,587,872,474,391,198,234,162,126,155
2021,"Enfield 014","E02000290",2536,209,400,259,198,244,338,268,235,385
2021,"Enfield 015","E02000291",4612,632,1119,627,410,449,423,287,252,413
2021,"Enfield 016","E02000292",4471,499,1000,580,457,477,431,318,286,423
2021,"Enfield 017","E02000293",2917,611,840,425,303,195,186,138,87,132
2021,"Enfield 018","E02000294",3672,336,526,367,370,423,423,344,342,541
2021,"Enfield 019","E02000295",3975,655,1063,592,430,337,276,189,160,273
2021,"Enfield 020","E02000296",4778,722,1119,627,459,486,394,262,253,456
2021,"Enfield 021","E02000297",4504,725,1029,634,515,406,370,277,232,316
2021,"Enfield 022","E02000298",4158,981,1164,667,430,273,204,188,103,148
2021,"Enfield 023","E02000299",3691,278,463,321,322,419,493,348,337,710
2021,"Enfield 024","E02000300",3605,300,521,345,349,467,441,323,320,539
2021,"Enfield 025","E02000301",3971,266,548,382,325,415,535,400,383,717
2021,"Enfield 026","E02000302",4027,555,920,533,375,448,337,261,255,343
2021,"Enfield 027","E02000303",3215,271,480,304,286,380,372,314,306,502
