"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"Bromley 023","E02000149",3285,3113,168,4,0
2021,"Bromley 024","E02000150",3116,2977,136,3,0
2021,"Bromley 025","E02000151",2970,2813,153,4,0
2021,"Bromley 026","E02000152",3096,2956,139,1,0
2021,"Bromley 027","E02000153",2895,2737,155,3,0
2021,"Bromley 028","E02000154",3573,3400,170,3,0
2021,"Bromley 029","E02000155",3040,2827,209,4,0
2021,"Bromley 030","E02000156",4861,4548,308,5,0
2021,"Bromley 031","E02000157",3279,3052,226,1,0
2021,"Bromley 032","E02000158",3034,2848,182,4,0
2021,"Bromley 033","E02000159",2822,2655,161,6,0
2021,"Bromley 034","E02000160",3043,2873,165,5,0
2021,"Bromley 035","E02000161",3347,3153,187,7,0
2021,"Bromley 036","E02000162",2964,2773,187,4,0
2021,"Bromley 037","E02000163",3068,2870,194,4,0
2021,"Bromley 039","E02000165",2742,2542,190,10,0
2021,"Camden 001","E02000166",3396,3287,108,1,0
2021,"Camden 002","E02000167",3373,3278,94,1,0
2021,"Camden 003","E02000168",3494,3414,79,1,0
2021,"Camden 004","E02000169",3027,2958,66,3,0
2021,"Camden 005","E02000170",3465,3404,58,3,0
2021,"Camden 006","E02000171",3330,3247,82,1,0
2021,"Camden 007","E02000172",4036,3951,82,2,1
2021,"Camden 008","E02000173",3501,3433,67,1,0
2021,"Camden 009","E02000174",3552,3497,50,5,0
2021,"Camden 010","E02000175",4308,4244,63,1,0
2021,"Camden 011","E02000176",3002,2941,61,0,0
2021,"Camden 012","E02000177",3654,3584,70,0,0
2021,"Camden 013","E02000178",4166,4114,52,0,0
2021,"Camden 014","E02000179",2547,2503,41,3,0
2021,"Camden 015","E02000180",3516,3461,54,1,0
2021,"Camden 016","E02000181",3749,3678,71,0,0
2021,"Camden 017","E02000182",3082,3031,50,1,0
2021,"Camden 018","E02000183",3617,3530,86,1,0
2021,"Camden 019","E02000184",3634,3580,54,0,0
2021,"Camden 020","E02000185",4069,4002,66,1,0
2021,"Camden 021","E02000186",2941,2887,54,0,0
2021,"Camden 022","E02000187",3821,3757,57,3,4
2021,"Camden 023","E02000188",2718,2665,53,0,0
2021,"Camden 026","E02000191",2106,2065,40,1,0
2021,"Camden 027","E02000192",3089,3031,56,2,0
2021,"Camden 028","E02000193",3100,3039,60,1,0
2021,"Croydon 001","E02000194",4203,4093,109,1,0
2021,"Croydon 002","E02000195",3490,3389,101,0,0
2021,"Croydon 003","E02000196",2816,2756,60,0,0
2021,"Croydon 004","E02000197",3320,3250,68,2,0
2021,"Croydon 005","E02000198",3502,3424,74,3,1
2021,"Croydon 006","E02000199",3207,3132,73,2,0
2021,"Croydon 007","E02000200",4002,3913,88,1,0
2021,"Croydon 008","E02000201",3821,3725,94,2,0
2021,"Croydon 009","E02000202",3035,2965,69,1,0
2021,"Croydon 010","E02000203",3119,3063,54,2,0
2021,"Croydon 011","E02000204",3227,3170,54,2,1
2021,"Croydon 013","E02000206",4465,4376,89,0,0
2021,"Croydon 014","E02000207",3560,3482,77,0,1
2021,"Croydon 015","E02000208",4098,4033,64,1,0
2021,"Croydon 016","E02000209",3063,2998,65,0,0
2021,"Croydon 017","E02000210",3444,3346,95,3,0
2021,"Croydon 018","E02000211",3294,3117,172,5,0
2021,"Croydon 019","E02000212",3263,3209,54,0,0
2021,"Croydon 020","E02000213",5391,5292,99,0,0
2021,"Croydon 021","E02000214",2326,2239,82,5,0
2021,"Croydon 022","E02000215",5255,5107,145,3,0
2021,"Croydon 023","E02000216",2942,2846,93,3,0
2021,"Croydon 024","E02000217",5021,4890,129,2,0
2021,"Croydon 025","E02000218",2351,2248,101,2,0
2021,"Croydon 026","E02000219",2983,2831,147,5,0
2021,"Croydon 028","E02000221",3989,3855,127,7,0
2021,"Croydon 029","E02000222",3635,3512,120,3,0
2021,"Croydon 030","E02000223",2789,2699,89,1,0
2021,"Croydon 031","E02000224",3271,3180,90,1,0
2021,"Croydon 032","E02000225",2658,2544,110,4,0
2021,"Croydon 033","E02000226",2780,2628,145,6,1
2021,"Croydon 034","E02000227",4838,4613,222,3,0
2021,"Croydon 035","E02000228",3005,2809,191,5,0
2021,"Croydon 036","E02000229",2237,2146,87,3,1
2021,"Croydon 037","E02000230",4229,4071,156,2,0
2021,"Croydon 038","E02000231",2750,2634,115,1,0
2021,"Croydon 039","E02000232",2370,2212,155,3,0
2021,"Croydon 040","E02000233",2396,2285,110,1,0
2021,"Croydon 041","E02000234",3720,3558,156,6,0
2021,"Croydon 042","E02000235",2657,2519,135,3,0
