"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
2021,"Enfield 007","E02000283",2802,0,479,700,587,559,306,108,44,19
2021,"Enfield 008","E02000284",3619,0,1088,1086,662,560,151,43,19,10
2021,"Enfield 009","E02000285",2460,0,496,755,502,488,163,42,5,9
2021,"Enfield 010","E02000286",4000,0,1475,1278,617,452,139,30,7,2
2021,"Enfield 011","E02000287",2873,0,769,857,538,465,175,50,12,7
2021,"Enfield 012","E02000288",4053,0,971,854,766,702,373,130,51,206
2021,"Enfield 013","E02000289",2424,0,466,716,476,518,164,58,17,9
2021,"Enfield 014","E02000290",2519,0,726,639,486,338,192,87,36,15
2021,"Enfield 015","E02000291",4330,0,1467,1316,708,561,200,54,13,11
2021,"Enfield 016","E02000292",3573,0,832,921,767,652,245,91,47,18
2021,"Enfield 017","E02000293",2493,0,619,803,427,419,168,43,7,7
2021,"Enfield 018","E02000294",3088,0,636,737,584,578,317,140,61,35
2021,"Enfield 019","E02000295",3351,0,930,914,646,587,165,50,46,13
2021,"Enfield 020","E02000296",4040,0,1175,1125,776,645,202,64,23,30
2021,"Enfield 021","E02000297",3475,0,864,1016,624,603,226,85,18,39
2021,"Enfield 022","E02000298",3056,0,731,895,592,555,181,52,12,38
2021,"Enfield 023","E02000299",3314,0,847,742,667,538,300,131,53,36
2021,"Enfield 024","E02000300",2999,0,756,687,584,481,254,106,51,80
2021,"Enfield 025","E02000301",3725,0,1030,903,682,589,312,122,50,37
2021,"Enfield 026","E02000302",3117,0,752,840,578,567,217,65,59,39
2021,"Enfield 027","E02000303",2973,0,864,653,513,462,263,138,44,36
2021,"Enfield 028","E02000304",2908,0,607,876,569,588,166,56,22,24
2021,"Enfield 029","E02000305",3453,0,924,1048,688,538,151,61,18,25
2021,"Enfield 030","E02000306",3400,0,1027,782,642,490,262,117,43,37
2021,"Enfield 031","E02000307",3343,0,665,824,698,620,272,123,57,84
2021,"Enfield 032","E02000308",3226,0,830,884,641,502,195,93,22,59
2021,"Enfield 033","E02000309",3987,0,977,900,771,688,343,135,76,97
2021,"Enfield 035","E02000311",3635,0,824,928,701,649,296,104,62,71
2021,"Enfield 036","E02000312",4497,0,1271,1368,821,662,201,113,31,30
2021,"Enfield 037","E02006793",3389,0,873,826,634,548,278,122,59,49
2021,"Greenwich 001","E02000313",2594,0,966,528,440,346,194,84,21,15
2021,"Greenwich 002","E02000314",4536,0,1130,1080,877,827,379,166,42,35
2021,"Greenwich 003","E02000315",3490,0,916,804,660,557,341,136,47,29
2021,"Greenwich 005","E02000317",2820,0,784,765,502,450,187,77,28,27
2021,"Greenwich 006","E02000318",3581,0,922,864,620,495,289,170,78,143
2021,"Greenwich 007","E02000319",3919,0,1115,1045,664,599,251,122,60,63
2021,"Greenwich 008","E02000320",2552,0,677,700,454,387,198,74,35,27
2021,"Greenwich 009","E02000321",2957,0,933,759,500,407,216,74,34,34
2021,"Greenwich 011","E02000323",4820,0,1507,1235,831,606,323,137,59,122
2021,"Greenwich 012","E02000324",2853,0,814,746,475,429,213,86,30,60
2021,"Greenwich 014","E02000326",3049,0,859,902,605,416,135,58,18,56
2021,"Greenwich 015","E02000327",2635,0,919,712,379,320,164,84,33,24
2021,"Greenwich 016","E02000328",2946,0,1032,1012,400,360,101,25,11,5
2021,"Greenwich 017","E02000329",2462,0,677,710,449,388,151,51,27,9
2021,"Greenwich 019","E02000331",3191,0,959,827,617,467,194,67,35,25
2021,"Greenwich 020","E02000332",3002,0,859,916,537,458,156,50,15,11
2021,"Greenwich 021","E02000333",2883,0,1032,1012,392,344,69,24,5,5
2021,"Greenwich 022","E02000334",2542,0,689,702,488,389,181,62,20,11
2021,"Greenwich 023","E02000335",2592,0,610,799,522,499,119,20,8,15
2021,"Greenwich 025","E02000337",3085,0,735,900,567,467,250,94,39,33
2021,"Greenwich 027","E02000339",2590,0,817,750,401,423,143,40,12,4
2021,"Greenwich 028","E02000340",3021,0,1078,902,477,361,138,45,14,6
2021,"Greenwich 029","E02000341",2941,0,732,803,601,433,222,99,37,14
2021,"Greenwich 030","E02000342",2341,0,699,682,439,329,133,32,19,8
2021,"Greenwich 031","E02000343",2692,0,750,748,492,400,181,78,22,21
2021,"Greenwich 032","E02000344",2448,0,599,747,446,457,129,53,10,7
2021,"Greenwich 033","E02006786",2874,0,777,778,547,473,178,82,26,13
2021,"Greenwich 034","E02006927",5087,0,1537,1643,861,652,219,71,89,15
