"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Croydon 031","E02000224",331,1,19,55,3,6,95,39,113,0
2021,"Croydon 032","E02000225",147,1,6,19,0,12,53,18,38,0
2021,"Croydon 033","E02000226",369,2,23,84,1,64,87,36,72,0
2021,"Croydon 034","E02000227",404,4,26,73,4,7,130,56,104,0
2021,"Croydon 035","E02000228",315,2,28,102,0,9,76,28,70,0
2021,"Croydon 036","E02000229",169,2,15,25,0,4,61,17,45,0
2021,"Croydon 037","E02000230",477,0,40,117,4,14,147,47,108,0
2021,"Croydon 038","E02000231",325,4,39,77,2,10,74,28,91,0
2021,"Croydon 039","E02000232",231,0,23,63,4,7,64,19,51,0
2021,"Croydon 040","E02000233",202,1,12,47,0,2,61,31,48,0
2021,"Croydon 041","E02000234",344,1,25,76,0,7,131,41,63,0
2021,"Croydon 042","E02000235",286,3,25,62,2,4,80,31,79,0
2021,"Croydon 043","E02000236",279,3,21,60,3,3,95,34,60,0
2021,"Croydon 044","E02000237",226,6,14,55,3,5,65,29,49,0
2021,"Ealing 001","E02000238",407,3,41,46,4,21,102,60,130,0
2021,"Ealing 002","E02000239",311,0,49,41,0,13,59,34,115,0
2021,"Ealing 003","E02000240",374,0,29,54,3,10,84,49,145,0
2021,"Ealing 004","E02000241",300,1,19,40,2,18,66,45,109,0
2021,"Ealing 005","E02000242",248,0,24,25,1,7,49,37,105,0
2021,"Ealing 006","E02000243",347,2,27,70,4,11,64,48,121,0
2021,"Ealing 007","E02000244",318,0,33,55,0,5,70,28,127,0
2021,"Ealing 008","E02000245",274,3,17,23,3,7,81,31,109,0
2021,"Ealing 009","E02000246",285,1,27,40,2,10,68,41,96,0
2021,"Ealing 010","E02000247",302,3,30,45,3,10,69,35,107,0
2021,"Ealing 011","E02000248",421,0,39,83,1,10,92,47,149,0
2021,"Ealing 012","E02000249",266,1,20,27,1,9,54,48,106,0
2021,"Ealing 013","E02000250",439,2,34,138,0,11,104,43,107,0
2021,"Ealing 014","E02000251",230,4,25,38,3,9,43,30,78,0
2021,"Ealing 015","E02000252",2093,0,40,61,3,1245,455,111,178,0
2021,"Ealing 016","E02000253",348,0,25,41,2,25,115,40,100,0
2021,"Ealing 017","E02000254",275,0,22,27,2,26,44,32,122,0
2021,"Ealing 018","E02000255",477,0,44,94,1,31,129,67,111,0
2021,"Ealing 019","E02000256",701,0,55,138,3,29,200,88,188,0
2021,"Ealing 021","E02000258",373,0,15,61,1,39,118,36,103,0
