"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"Hammersmith and Fulham 001","E02000372",3876,2654,477,104,641
2021,"Hammersmith and Fulham 002","E02000373",2537,1592,505,135,305
2021,"Hammersmith and Fulham 003","E02000374",2616,1842,377,87,310
2021,"Hammersmith and Fulham 004","E02000375",3498,2402,423,88,585
2021,"Hammersmith and Fulham 005","E02000376",3183,2197,366,57,563
2021,"Hammersmith and Fulham 006","E02000377",3447,2559,340,75,473
2021,"Hammersmith and Fulham 007","E02000378",3251,2257,320,73,601
2021,"Hammersmith and Fulham 008","E02000379",3104,2348,325,88,343
2021,"Hammersmith and Fulham 009","E02000380",2498,1949,229,35,285
2021,"Hammersmith and Fulham 010","E02000381",3548,2586,316,85,561
2021,"Hammersmith and Fulham 011","E02000382",2772,2073,273,61,365
2021,"Hammersmith and Fulham 012","E02000383",4112,2759,482,76,795
2021,"Hammersmith and Fulham 013","E02000384",3805,2602,449,99,655
2021,"Hammersmith and Fulham 014","E02000385",2849,2112,287,30,420
2021,"Hammersmith and Fulham 015","E02000386",3366,2325,430,92,519
2021,"Hammersmith and Fulham 016","E02000387",2587,1837,332,64,354
2021,"Hammersmith and Fulham 017","E02000388",4134,3052,398,74,610
2021,"Hammersmith and Fulham 018","E02000389",3679,2711,431,87,450
2021,"Hammersmith and Fulham 019","E02000390",2719,2053,293,50,323
2021,"Hammersmith and Fulham 020","E02000391",3281,2574,341,72,294
2021,"Hammersmith and Fulham 021","E02000392",4041,3124,438,91,388
2021,"Hammersmith and Fulham 022","E02000393",2588,2026,264,49,249
2021,"Hammersmith and Fulham 023","E02000394",4347,3314,398,113,522
2021,"Hammersmith and Fulham 024","E02000395",2640,2109,238,53,240
2021,"Hammersmith and Fulham 025","E02000396",2771,2077,317,80,297
2021,"Haringey 001","E02000397",3472,2108,399,138,827
2021,"Haringey 002","E02000398",2881,1687,396,159,639
2021,"Haringey 004","E02000400",3119,2130,414,122,453
2021,"Haringey 005","E02000401",2477,1516,454,94,413
2021,"Haringey 006","E02000402",2426,1483,376,118,449
2021,"Haringey 007","E02000403",2990,1650,442,127,771
2021,"Haringey 008","E02000404",2665,1409,480,121,655
2021,"Haringey 009","E02000405",2462,2078,198,37,149
2021,"Haringey 010","E02000406",2597,1549,435,75,538
2021,"Haringey 011","E02000407",3005,1790,406,149,660
2021,"Haringey 012","E02000408",3001,1740,437,177,647
2021,"Haringey 013","E02000409",2372,1391,409,91,481
2021,"Haringey 014","E02000410",2614,2131,223,57,203
2021,"Haringey 015","E02000411",3951,2448,612,184,707
2021,"Haringey 016","E02000412",2870,1644,479,89,658
2021,"Haringey 017","E02000413",2963,2377,304,83,199
2021,"Haringey 018","E02000414",2718,1666,363,100,589
2021,"Haringey 019","E02000415",2835,1571,415,133,716
2021,"Haringey 020","E02000416",3919,3008,387,89,435
2021,"Haringey 021","E02000417",2867,2394,204,45,224
2021,"Haringey 022","E02000418",2207,1915,157,26,109
2021,"Haringey 023","E02000419",3645,2119,513,110,903
2021,"Haringey 024","E02000420",3436,2056,445,150,785
2021,"Haringey 025","E02000421",3140,1859,482,142,657
2021,"Haringey 026","E02000422",2887,1740,399,141,607
2021,"Haringey 027","E02000423",2672,1541,463,70,598
2021,"Haringey 028","E02000424",2987,2482,260,49,196
2021,"Haringey 029","E02000425",2164,1342,324,69,429
