"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"Hackney 025","E02000369",5929,40,13,3,5873
2021,"Hackney 026","E02000370",3990,24,20,4,3942
2021,"Hammersmith and Fulham 001","E02000372",3873,33,22,5,3813
2021,"Hammersmith and Fulham 002","E02000373",2537,17,14,1,2505
2021,"Hammersmith and Fulham 003","E02000374",2616,30,15,3,2568
2021,"Hammersmith and Fulham 004","E02000375",3496,35,22,6,3433
2021,"Hammersmith and Fulham 005","E02000376",3182,20,16,0,3146
2021,"Hammersmith and Fulham 006","E02000377",3445,41,15,2,3387
2021,"Hammersmith and Fulham 007","E02000378",3251,27,22,1,3201
2021,"Hammersmith and Fulham 008","E02000379",3103,37,22,3,3041
2021,"Hammersmith and Fulham 009","E02000380",2496,27,19,3,2447
2021,"Hammersmith and Fulham 010","E02000381",3547,37,27,5,3478
2021,"Hammersmith and Fulham 011","E02000382",2769,37,20,3,2709
2021,"Hammersmith and Fulham 012","E02000383",4111,53,17,5,4036
2021,"Hammersmith and Fulham 013","E02000384",3805,40,18,2,3745
2021,"Hammersmith and Fulham 014","E02000385",2849,22,16,2,2809
2021,"Hammersmith and Fulham 015","E02000386",3367,37,24,3,3303
2021,"Hammersmith and Fulham 016","E02000387",2586,32,19,1,2534
2021,"Hammersmith and Fulham 017","E02000388",4131,50,33,1,4047
2021,"Hammersmith and Fulham 018","E02000389",3677,59,38,4,3576
2021,"Hammersmith and Fulham 019","E02000390",2718,40,21,2,2655
2021,"Hammersmith and Fulham 020","E02000391",3279,114,31,11,3123
2021,"Hammersmith and Fulham 021","E02000392",4039,48,33,3,3955
2021,"Hammersmith and Fulham 022","E02000393",2588,46,17,0,2525
2021,"Hammersmith and Fulham 023","E02000394",4343,46,20,3,4274
2021,"Hammersmith and Fulham 024","E02000395",2640,60,25,3,2552
2021,"Hammersmith and Fulham 025","E02000396",2768,31,18,0,2719
2021,"Haringey 001","E02000397",3472,32,15,2,3423
2021,"Haringey 002","E02000398",2881,12,10,0,2859
2021,"Haringey 004","E02000400",3120,21,16,0,3083
2021,"Haringey 005","E02000401",2476,28,12,0,2436
2021,"Haringey 006","E02000402",2425,19,7,4,2395
2021,"Haringey 007","E02000403",2989,16,12,0,2961
2021,"Haringey 008","E02000404",2665,21,6,1,2637
2021,"Haringey 009","E02000405",2462,20,9,0,2433
2021,"Haringey 010","E02000406",2597,16,12,1,2568
2021,"Haringey 011","E02000407",3005,29,5,1,2970
2021,"Haringey 012","E02000408",3001,22,7,3,2969
2021,"Haringey 013","E02000409",2370,7,7,0,2356
2021,"Haringey 014","E02000410",2614,23,10,1,2580
2021,"Haringey 015","E02000411",3952,14,8,1,3929
2021,"Haringey 016","E02000412",2868,18,9,0,2841
2021,"Haringey 017","E02000413",2959,32,15,1,2911
2021,"Haringey 018","E02000414",2718,12,9,0,2697
2021,"Haringey 019","E02000415",2835,16,14,1,2804
2021,"Haringey 020","E02000416",3919,32,20,0,3867
2021,"Haringey 021","E02000417",2867,32,14,5,2816
2021,"Haringey 022","E02000418",2209,27,14,0,2168
2021,"Haringey 023","E02000419",3642,24,8,0,3610
2021,"Haringey 024","E02000420",3436,23,22,2,3389
2021,"Haringey 025","E02000421",3139,18,9,0,3112
2021,"Haringey 026","E02000422",2885,16,14,0,2855
2021,"Haringey 027","E02000423",2672,11,10,3,2648
2021,"Haringey 028","E02000424",2984,17,14,3,2950
2021,"Haringey 029","E02000425",2161,19,11,1,2130
2021,"Haringey 030","E02000426",2744,38,19,4,2683
2021,"Haringey 031","E02000427",2870,23,9,2,2836
2021,"Haringey 032","E02000428",2920,8,15,0,2897
2021,"Haringey 033","E02000429",3200,28,15,2,3155
2021,"Haringey 034","E02000430",3248,21,15,0,3212
2021,"Haringey 035","E02000431",2845,28,12,1,2804
2021,"Haringey 036","E02000432",2799,14,17,4,2764
2021,"Harrow 001","E02000433",3543,83,18,4,3438
2021,"Harrow 002","E02000434",3637,42,20,0,3575
2021,"Harrow 003","E02000435",2811,57,18,1,2735
2021,"Harrow 004","E02000436",2043,51,12,2,1978
2021,"Harrow 005","E02000437",3089,70,17,5,2997
2021,"Harrow 006","E02000438",3044,87,23,4,2930
2021,"Harrow 007","E02000439",2950,34,17,5,2894
2021,"Harrow 008","E02000440",3057,45,19,2,2991
2021,"Harrow 009","E02000441",2794,58,16,5,2715
2021,"Harrow 010","E02000442",2666,24,6,0,2636
2021,"Harrow 011","E02000443",3545,53,13,2,3477
2021,"Harrow 012","E02000444",2669,25,12,1,2631
2021,"Harrow 013","E02000445",3820,39,22,1,3758
2021,"Harrow 015","E02000447",2743,32,15,0,2696
2021,"Harrow 016","E02000448",2759,66,25,4,2664
2021,"Harrow 017","E02000449",2526,27,7,1,2491
2021,"Harrow 019","E02000451",2329,44,11,1,2273
2021,"Harrow 020","E02000452",3452,20,17,3,3412
2021,"Harrow 021","E02000453",3047,30,17,1,2999
2021,"Harrow 022","E02000454",2524,50,16,7,2451
2021,"Harrow 023","E02000455",4757,40,20,1,4696
2021,"Harrow 024","E02000456",2717,27,16,6,2668
2021,"Harrow 025","E02000457",2563,40,13,5,2505
2021,"Harrow 027","E02000459",3419,55,7,2,3355
2021,"Harrow 028","E02000460",2416,26,11,0,2379
2021,"Harrow 029","E02000461",2558,41,18,2,2497
2021,"Harrow 030","E02000462",2285,67,12,2,2204
2021,"Harrow 031","E02000463",2835,45,11,0,2779
2021,"Havering 001","E02000464",2873,86,29,7,2751
2021,"Havering 002","E02000465",3491,72,17,2,3400
2021,"Havering 003","E02000466",3293,77,30,5,3181
2021,"Havering 004","E02000467",4289,85,31,4,4169
2021,"Havering 005","E02000468",3165,94,22,4,3045
2021,"Havering 006","E02000469",2699,72,24,4,2599
2021,"Havering 007","E02000470",4129,120,32,5,3972
2021,"Havering 008","E02000471",2941,121,22,2,2796
2021,"Havering 009","E02000472",3526,102,30,3,3391
