"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"Hammersmith and Fulham 013","E02000384",2809,493,1185,1131
2021,"Hammersmith and Fulham 014","E02000385",1519,383,731,405
2021,"Hammersmith and Fulham 015","E02000386",2614,522,1113,979
2021,"Hammersmith and Fulham 016","E02000387",2002,427,884,691
2021,"Hammersmith and Fulham 017","E02000388",2565,503,1285,777
2021,"Hammersmith and Fulham 018","E02000389",2616,538,1379,699
2021,"Hammersmith and Fulham 019","E02000390",1761,345,882,534
2021,"Hammersmith and Fulham 020","E02000391",2190,361,1190,639
2021,"Hammersmith and Fulham 021","E02000392",2537,490,1235,812
2021,"Hammersmith and Fulham 022","E02000393",1479,290,809,380
2021,"Hammersmith and Fulham 023","E02000394",2657,489,1302,866
2021,"Hammersmith and Fulham 024","E02000395",1694,288,1058,348
2021,"Hammersmith and Fulham 025","E02000396",1974,328,1059,587
2021,"Haringey 001","E02000397",2359,406,1111,842
2021,"Haringey 002","E02000398",2938,449,1155,1334
2021,"Haringey 004","E02000400",2459,388,1171,900
2021,"Haringey 005","E02000401",2683,397,1054,1232
2021,"Haringey 006","E02000402",2435,422,894,1119
2021,"Haringey 007","E02000403",2237,469,979,789
2021,"Haringey 008","E02000404",2537,411,1011,1115
2021,"Haringey 009","E02000405",1691,290,993,408
2021,"Haringey 010","E02000406",2317,425,922,970
2021,"Haringey 011","E02000407",2520,399,1014,1107
2021,"Haringey 012","E02000408",2845,425,1177,1243
2021,"Haringey 013","E02000409",2200,329,951,920
2021,"Haringey 014","E02000410",1775,375,988,412
2021,"Haringey 015","E02000411",3786,873,1316,1597
2021,"Haringey 016","E02000412",2528,459,1011,1058
2021,"Haringey 017","E02000413",2211,296,1241,674
2021,"Haringey 018","E02000414",2109,371,955,783
2021,"Haringey 019","E02000415",2288,441,1035,812
2021,"Haringey 020","E02000416",2396,393,1150,853
2021,"Haringey 021","E02000417",1910,298,1188,424
2021,"Haringey 022","E02000418",1613,249,1025,339
2021,"Haringey 023","E02000419",2407,507,1059,841
2021,"Haringey 024","E02000420",2487,418,1061,1008
2021,"Haringey 025","E02000421",3002,633,1057,1312
2021,"Haringey 026","E02000422",2460,440,1038,982
2021,"Haringey 027","E02000423",2026,431,848,747
2021,"Haringey 028","E02000424",1806,316,960,530
2021,"Haringey 029","E02000425",2000,316,677,1007
2021,"Haringey 030","E02000426",2026,284,1235,507
2021,"Haringey 031","E02000427",1762,418,815,529
2021,"Haringey 032","E02000428",2578,549,950,1079
2021,"Haringey 033","E02000429",1806,303,1119,384
2021,"Haringey 034","E02000430",1545,276,888,381
2021,"Haringey 035","E02000431",1432,256,876,300
2021,"Haringey 036","E02000432",1591,262,824,505
2021,"Harrow 001","E02000433",3289,342,1989,958
2021,"Harrow 002","E02000434",3204,444,1710,1050
2021,"Harrow 003","E02000435",2988,342,1520,1126
2021,"Harrow 004","E02000436",2036,249,1293,494
2021,"Harrow 005","E02000437",3085,373,1663,1049
2021,"Harrow 006","E02000438",2941,372,1535,1034
2021,"Harrow 007","E02000439",2874,436,1283,1155
2021,"Harrow 008","E02000440",2902,384,1542,976
2021,"Harrow 009","E02000441",2573,302,1411,860
2021,"Harrow 010","E02000442",2889,502,1249,1138
2021,"Harrow 011","E02000443",3565,492,1462,1611
2021,"Harrow 012","E02000444",2746,372,1354,1020
2021,"Harrow 013","E02000445",3781,537,1631,1613
2021,"Harrow 015","E02000447",2420,358,1297,765
2021,"Harrow 016","E02000448",2410,337,1522,551
2021,"Harrow 017","E02000449",2724,361,1259,1104
2021,"Harrow 019","E02000451",2190,279,1318,593
2021,"Harrow 020","E02000452",2794,455,1212,1127
2021,"Harrow 021","E02000453",2425,365,1201,859
2021,"Harrow 022","E02000454",2171,287,1343,541
2021,"Harrow 023","E02000455",3432,550,1610,1272
2021,"Harrow 024","E02000456",2432,362,1220,850
2021,"Harrow 025","E02000457",2354,286,1338,730
2021,"Harrow 027","E02000459",2932,452,1302,1178
2021,"Harrow 028","E02000460",2317,335,958,1024
2021,"Harrow 029","E02000461",2384,361,998,1025
2021,"Harrow 030","E02000462",2339,347,1058,934
2021,"Harrow 031","E02000463",3016,447,1315,1254
2021,"Havering 001","E02000464",2535,311,1425,799
2021,"Havering 002","E02000465",2707,411,1456,840
2021,"Havering 003","E02000466",3094,405,1835,854
2021,"Havering 004","E02000467",3589,503,1780,1306
2021,"Havering 005","E02000468",2853,376,1674,803
2021,"Havering 006","E02000469",2350,292,1293,765
2021,"Havering 007","E02000470",3042,371,1999,672
2021,"Havering 008","E02000471",2799,305,1913,581
2021,"Havering 009","E02000472",3030,385,1927,718
2021,"Havering 010","E02000473",3124,390,1974,760
2021,"Havering 011","E02000474",2861,365,1674,822
2021,"Havering 012","E02000475",3212,380,2163,669
2021,"Havering 013","E02000476",2807,418,1501,888
2021,"Havering 014","E02000477",3081,401,2093,587
2021,"Havering 015","E02000478",2351,239,1484,628
2021,"Havering 016","E02000479",2697,384,1409,904
2021,"Havering 017","E02000480",3973,619,2015,1339
2021,"Havering 018","E02000481",2825,320,1945,560
2021,"Havering 019","E02000482",2389,232,1749,408
2021,"Havering 020","E02000483",2779,353,1810,616
2021,"Havering 021","E02000484",2713,347,1751,615
2021,"Havering 022","E02000485",2620,323,1719,578
2021,"Havering 023","E02000486",2580,293,1736,551
2021,"Havering 024","E02000487",2967,266,2219,482
2021,"Havering 025","E02000488",2590,274,1823,493
2021,"Havering 026","E02000489",2742,351,1652,739
2021,"Havering 027","E02000490",2778,366,1655,757
2021,"Havering 028","E02000491",3360,487,1829,1044
2021,"Havering 029","E02000492",2423,283,1551,589
2021,"Havering 030","E02000493",2073,336,1098,639
2021,"Hillingdon 001","E02000494",2892,297,1892,703
2021,"Hillingdon 002","E02000495",3308,404,2040,864
2021,"Hillingdon 003","E02000496",2524,312,1588,624
2021,"Hillingdon 004","E02000497",3009,378,1854,777
2021,"Hillingdon 005","E02000498",2193,266,1453,474
2021,"Hillingdon 006","E02000499",2653,302,1788,563
2021,"Hillingdon 007","E02000500",2850,355,1924,571
2021,"Hillingdon 008","E02000501",2493,324,1616,553
2021,"Hillingdon 009","E02000502",2426,311,1486,629
2021,"Hillingdon 010","E02000503",2336,358,1415,563
2021,"Hillingdon 011","E02000504",2381,284,1661,436
2021,"Hillingdon 013","E02000506",2690,313,1720,657
2021,"Hillingdon 014","E02000507",2385,353,1269,763
2021,"Hillingdon 015","E02000508",4254,997,1723,1534
2021,"Hillingdon 016","E02000509",4554,1138,1765,1651
