"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"Enfield 009","E02000285",2458,27,2149,9,94,1,0,1,1,1,17,155,3
2021,"Enfield 010","E02000286",3998,47,2942,14,648,0,1,1,7,16,48,254,20
2021,"Enfield 011","E02000287",2873,27,2188,17,258,3,0,0,16,112,29,205,18
2021,"Enfield 012","E02000288",4053,112,2759,33,479,3,0,0,2,59,93,504,9
2021,"Enfield 013","E02000289",2426,20,2098,2,104,2,0,0,1,1,20,170,8
2021,"Enfield 014","E02000290",2519,71,1164,23,796,5,0,2,21,113,75,237,12
2021,"Enfield 015","E02000291",4327,94,2709,29,1000,0,0,0,7,73,83,326,6
2021,"Enfield 016","E02000292",3569,69,2972,17,163,1,1,0,0,5,51,287,3
2021,"Enfield 017","E02000293",2489,26,2083,6,156,1,0,0,3,2,16,188,8
2021,"Enfield 018","E02000294",3086,69,2339,25,212,0,0,0,2,5,75,355,4
2021,"Enfield 019","E02000295",3352,50,2640,15,349,2,0,0,1,10,32,248,5
2021,"Enfield 020","E02000296",4041,76,2830,18,708,0,0,0,7,50,42,297,13
2021,"Enfield 021","E02000297",3474,42,2917,11,249,0,0,0,0,1,26,222,6
2021,"Enfield 022","E02000298",3056,26,2635,9,125,1,0,0,4,1,19,222,14
2021,"Enfield 023","E02000299",3315,96,2317,21,394,1,0,1,0,21,79,380,5
2021,"Enfield 024","E02000300",2999,100,2072,14,449,1,0,1,0,9,84,267,2
2021,"Enfield 025","E02000301",3725,102,2343,37,704,5,0,1,4,7,82,436,4
2021,"Enfield 026","E02000302",3113,39,2680,10,110,6,0,0,3,4,31,224,6
2021,"Enfield 027","E02000303",2977,85,1935,22,516,0,0,0,0,24,71,319,5
2021,"Enfield 028","E02000304",2910,37,2485,12,105,4,0,1,3,23,20,213,7
2021,"Enfield 029","E02000305",3453,66,2800,15,261,1,0,0,1,16,28,255,10
2021,"Enfield 030","E02000306",3400,88,1851,27,933,0,1,0,2,30,95,369,4
2021,"Enfield 031","E02000307",3341,48,2728,19,129,0,0,0,2,5,57,347,6
2021,"Enfield 032","E02000308",3223,64,2324,18,386,0,0,0,8,85,50,280,8
2021,"Enfield 033","E02000309",3984,115,2495,35,716,3,1,0,3,47,122,439,8
