"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"Croydon 020","E02000213",5996,1945,361,751,915,22,63,1059,100,94,582,104
2021,"Croydon 021","E02000214",3096,1389,144,232,180,6,16,857,57,37,140,38
2021,"Croydon 022","E02000215",6261,2591,414,796,593,22,44,1157,93,82,389,80
2021,"Croydon 023","E02000216",3468,1770,168,338,237,3,17,656,50,33,156,40
2021,"Croydon 024","E02000217",6204,2120,542,645,653,29,62,1311,82,115,550,95
2021,"Croydon 025","E02000218",2797,907,58,201,394,11,17,1014,47,16,94,38
2021,"Croydon 026","E02000219",3650,1556,84,230,209,9,29,1258,79,31,121,44
2021,"Croydon 028","E02000221",4989,1582,148,430,535,29,26,1629,106,54,388,62
2021,"Croydon 029","E02000222",4491,2185,115,434,375,14,21,982,68,53,213,31
2021,"Croydon 030","E02000223",3204,506,263,200,657,19,19,1269,96,10,118,47
2021,"Croydon 031","E02000224",4355,1859,116,460,405,17,16,1086,79,42,234,41
2021,"Croydon 032","E02000225",3384,690,271,168,387,10,22,1528,124,6,128,50
2021,"Croydon 033","E02000226",3551,1535,61,200,196,13,16,1252,70,30,130,48
2021,"Croydon 034","E02000227",5722,1850,125,339,514,18,39,2413,130,36,189,69
2021,"Croydon 035","E02000228",3656,2012,38,246,80,13,11,1053,73,18,70,42
2021,"Croydon 036","E02000229",2543,531,158,133,292,13,19,1102,100,15,142,38
2021,"Croydon 037","E02000230",5081,2585,80,493,313,17,22,1224,98,36,167,46
2021,"Croydon 038","E02000231",3859,1998,46,257,150,10,10,1152,71,18,114,33
2021,"Croydon 039","E02000232",2901,1143,32,137,155,12,15,1200,68,22,90,27
2021,"Croydon 040","E02000233",3175,1469,43,251,155,9,14,1035,78,18,70,33
2021,"Croydon 041","E02000234",4566,2163,49,357,231,19,20,1399,87,29,173,39
2021,"Croydon 042","E02000235",3453,1715,36,257,112,9,18,1110,58,16,92,30
2021,"Croydon 043","E02000236",4663,2203,40,359,128,21,20,1591,81,32,149,39
2021,"Croydon 044","E02000237",3509,1391,37,211,159,6,24,1426,69,21,130,35
2021,"Ealing 001","E02000238",5506,1427,835,232,521,24,58,1831,122,87,294,75
2021,"Ealing 002","E02000239",4585,1268,745,177,385,16,30,1506,96,77,229,56
2021,"Ealing 003","E02000240",4927,1073,692,211,596,27,36,1772,123,62,245,90
2021,"Ealing 004","E02000241",3577,895,539,133,321,12,33,1271,102,65,157,49
2021,"Ealing 005","E02000242",3286,805,494,105,279,9,36,1050,63,115,273,57
2021,"Ealing 006","E02000243",4161,1073,689,151,364,14,48,1321,90,70,265,76
2021,"Ealing 007","E02000244",3771,1132,654,103,266,15,38,1132,77,119,168,67
2021,"Ealing 008","E02000245",3922,802,364,138,664,19,33,1473,110,66,187,66
2021,"Ealing 009","E02000246",4068,843,316,111,611,27,29,1715,128,56,164,68
2021,"Ealing 010","E02000247",4820,1121,401,134,693,31,34,1909,116,83,217,81
2021,"Ealing 011","E02000248",3715,1323,663,131,283,17,57,802,51,88,240,60
2021,"Ealing 012","E02000249",3863,936,379,86,570,17,32,1336,100,96,245,66
2021,"Ealing 013","E02000250",3169,1791,302,47,113,15,16,543,34,86,194,28
2021,"Ealing 014","E02000251",3851,881,324,93,537,14,28,1567,123,61,161,62
2021,"Ealing 015","E02000252",5409,1843,1083,252,531,29,81,842,56,212,393,87
2021,"Ealing 016","E02000253",4245,1283,392,148,539,25,37,1292,99,136,245,49
2021,"Ealing 017","E02000254",4002,783,190,119,714,15,15,1620,129,64,288,65
2021,"Ealing 018","E02000255",4584,2152,477,163,267,19,46,940,59,129,290,42
2021,"Ealing 019","E02000256",5197,2773,672,170,248,33,46,694,37,194,272,58
2021,"Ealing 021","E02000258",3385,1450,514,125,204,14,38,598,41,152,206,43
